otu.names	W_stat	W_f	A_relAbund	B_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
10	Blautia	6	3.69029901400641	0.114861256230773	0.116167479558245	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
51	Odoribacter	5	1.1723459778329	0.00134092364300251	0.00104466207358729	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
101	f_NA_ASV128	4	4.08466099583969	9.96270614741608e-06	0.0029573723421925	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
108	f_Ruminococcaceae_ASV610	4	3.6813223118225	0.000117983893456685	0.000244853044545165	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
83	f_Christensenellaceae_ASV181	3	4.03471272892962	0	0.000873702780903101	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
54	Oxalobacter	3	3.41300516333783	2.93879950040409e-06	0.000181444124246037	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
110	f_UCG.010_ASV667	3	3.19813846128026	6.23035491216757e-06	0.000164519058836275	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
92	f_Lachnospiraceae_ASV297	3	2.24391387526146	0.000165677309366579	0.000434064047101324	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
96	f_Lachnospiraceae_ASV410	3	0.836490529278507	0.000241782986262162	0.000125038286124955	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
73	X.Eubacterium..eligens.group	2	5.75123360927283	0.00102892322409158	0.00428753935442454	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
50	NK4A214.group	2	5.17236784455088	0.00124990992778684	0.00359448839881829	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
17	Collinsella	2	3.97632308891048	0.00161054004498179	0.00496201650520505	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
74	X.Eubacterium..fissicatena.group	2	3.71673423603289	3.22323252842508e-05	0.000170372892329687	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
103	f_NA_ASV184	2	3.29036011530535	0.000137341286665788	0.00114591165805416	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
46	Lachnotalea	2	2.89119112161537	2.81677798155949e-05	0.000117595418789078	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
19	DTU089	2	2.33649774249618	6.70612498347045e-05	0.000230558044443739	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
76	X.Eubacterium..ruminantium.group	2	1.77800451706807	0.00229015040126724	0.00501981375670875	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
62	Shuttleworthia	2	1.75015275171896	2.82883430810249e-05	0.000191562627031718	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
29	Fusicatenibacter	2	1.44807262566327	0.0305280421126917	0.0304378076028719	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
47	Marvinbryantia	1	4.54367546747038	0.000578584789973202	0.00255877057550794	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
111	f_.Eubacterium..coprostanoligenes.group_ASV203	1	3.83156769337674	0.000193743469807156	0.00165468374146742	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
86	f_Erysipelotrichaceae_ASV487	1	3.39070406465946	4.12320756299667e-05	0.000442255864129244	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
38	Lachnospiraceae.AC2044.group	1	3.24319080901883	1.69750358883238e-05	0.000507553375086799	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
87	f_Lachnospiraceae_ASV117	1	2.86284071265035	7.02896861697682e-05	0.000710087251481178	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
30	GCA.900066575	1	2.58272795909126	0.000100508033190602	0.000272848177989737	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
85	f_Eggerthellaceae_ASV319	1	1.97366645636334	0.000188767105075441	0.000864324072449349	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
3	Akkermansia	1	1.93510261139445	0.00184843620438451	0.00693854034605754	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
40	Lachnospiraceae.ND3007.group	1	1.91147286341841	0.00421260755813231	0.00865773699515853	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
6	Angelakisella	1	1.15872684233571	0.000101324168903565	0.000164266912020058	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
84	f_Coriobacteriales.Incertae.Sedis_ASV433	1	1.02729421151768	0.00014144237555658	0.000335905681921647	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
37	Lachnospira	1	0.933091797702854	0.0138720272183242	0.00713200058770382	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
97	f_Lachnospiraceae_ASV514	1	0.61983287105785	5.65766861620498e-05	5.38271640589503e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
75	X.Eubacterium..hallii.group	1	0.401766289941686	0.0117300248634965	0.0136140022772639	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
12	Butyricimonas	1	0.011164606662847	0.000187634580976051	7.71990240587279e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
71	UCG.005	0	5.52042511542356	0.0022239066244286	0.00814454472767029	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
81	X.Ruminococcus..gnavus.group	0	5.26581839736484	0.00162675230274138	0.000569148976358273	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
61	Ruminococcus	0	4.77344237268499	0.00899185091085016	0.0349423566414449	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
22	Erysipelatoclostridium	0	3.15918539273171	0.00045813621400384	0.000391372298721924	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
77	X.Eubacterium..siraeum.group	0	2.68721796629065	0.0012627705321345	0.00322445433083225	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
98	f_Lachnospiraceae_ASV532	0	2.51511659794231	0.000266500148041998	6.90960721386071e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
41	Lachnospiraceae.NK4A136.group	0	2.20186444794851	0.00316812406823729	0.00739345993951184	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
105	f_NA_ASV691	0	2.08395576958038	0.000110401265478219	0.000192701706115599	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
42	Lachnospiraceae.UCG.001	0	1.71123565491878	0.00114437037822365	0.00308112010973797	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
31	Haemophilus	0	1.65078913820014	0.00152480420424865	0.0009435043454683	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
94	f_Lachnospiraceae_ASV384	0	1.64568428092144	0.000235889489941288	0.000245363381734046	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
25	Faecalibacterium	0	1.48528018696505	0.0870130684723415	0.0908680337880885	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
23	Erysipelotrichaceae.UCG.003	0	1.42825793246151	0.00894984584078399	0.00651003259546636	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
69	UCG.002	0	1.26973637879443	0.0074938100073344	0.0125777006135935	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
21	Dorea	0	1.24490734889912	0.00999164319517338	0.0100175814954563	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
26	Family.XIII.AD3011.group	0	1.19793806984195	0.000209678050127268	0.00042631057439809	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
70	UCG.003	0	1.19060182949756	0.00116704880886167	0.00331318447332705	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
13	CAG.56	0	1.06019645577687	0.00354521430658172	0.00458947236444249	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
59	Romboutsia	0	0.921431410655728	0.00301995847697227	0.00781241386839416	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
63	Streptococcus	0	0.877469111036293	0.00201140215845632	0.00207465666162732	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
20	Dialister	0	0.814130913164644	0.00133520849285536	0.00370435374337845	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
18	Coprococcus	0	0.644556413536735	0.00636108817266971	0.0153038963412435	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
39	Lachnospiraceae.FCS020.group	0	0.586471122575274	0.000638040042619628	0.00114749974114241	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
53	Oscillospira	0	0.540737829038261	0.000240723638466323	0.000165275881026306	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
34	Intestinibacter	0	0.514292452645335	0.00203152401280176	0.00269256022083279	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
57	Phascolarctobacterium	0	0.482503882751359	0.00209346615142919	0.00115223851844394	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
11	Butyricicoccus	0	0.479668216291501	0.00537255704592302	0.00556643435518205	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
27	Family.XIII.UCG.001	0	0.441967987593638	0.000102095029474922	0.000215498974802188	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
80	X.Ruminococcus..gauvreauii.group	0	0.345077264821417	0.00390172703475072	0.00403540160732846	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
60	Roseburia	0	0.341213760708029	0.0131243912322582	0.0126030729266816	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
107	f_Ruminococcaceae_ASV327	0	0.294874521746703	0.000494272632150652	0.000482707141549103	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
32	Holdemania	0	0.272228057389627	0.00014004042300855	0.000124187526360227	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
93	f_Lachnospiraceae_ASV326	0	0.265215166458126	0.000426538879972549	0.000329824828385115	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
91	f_Lachnospiraceae_ASV283	0	0.253155740403432	0.000304152081597537	0.000388137022608955	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
52	Oscillibacter	0	0.234194844551438	0.00104114207188208	0.00147890353964789	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
67	Turicibacter	0	0.182621444022214	0.00077222149256857	0.00151254316926222	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
44	Lachnospiraceae.UCG.009	0	0.158600880371841	0.00014332483204192	0.000159971427851551	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
2	Agathobacter	0	0.128929741333879	0.0490066418161629	0.054528680232849	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
68	UBA1819	0	0.123938584232397	0.000228352717454696	0.000354711699112196	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
58	Prevotella_9	0	0.117288613160874	0.00196064826576041	0.00680040642692731	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
9	Bilophila	0	0.11562739780673	0.00640643936616768	0.00450572173418636	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
82	X.Ruminococcus..torques.group	0	0.0941900336820225	0.0114950808711475	0.011116492111937	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
106	f_Oscillospiraceae_ASV141	0	0.0806411564287192	0.00119181385216657	0.00222472465115055	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
33	Incertae.Sedis	0	0.077343255956307	0.00355233617464352	0.00300588335147954	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
78	X.Eubacterium..ventriosum.group	0	0.0703758561086977	0.00246265713804613	0.00221096403936887	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
72	UCG.009	0	0.0680209045248485	0.00013981287992143	0.000124634601999488	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
95	f_Lachnospiraceae_ASV398	0	0.0611844426966607	0.000154485505686033	0.000178403272158973	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
45	Lachnospiraceae.UCG.010	0	0.0474128406257596	0.000962533626369475	0.00131326326913957	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
89	f_Lachnospiraceae_ASV259	0	0.0236698578594106	0.000405125559477266	0.000437732796225068	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
65	Sutterella	0	0.0173641778192151	0.00608332567759448	0.0040866996588801	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
56	Parasutterella	0	0.016001087037473	0.0128854405843213	0.00720877790544608	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
16	Colidextribacter	0	0.0149888768364232	0.00137094398071565	0.00174378781878911	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
8	Bifidobacterium	0	0.0149254641705553	0.0220401657288595	0.0539069573435648	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
90	f_Lachnospiraceae_ASV275	0	0.00955733004195326	0.000263509278488051	0.000227819252148375	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
55	Parabacteroides	0	0.0089659412093875	0.0199002630535525	0.0272066130617227	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
66	Terrisporobacter	0	0.00318389935033253	0.000608025079693233	0.00075739064143748	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
99	f_Lachnospiraceae_ASV555	0	0.00252107622714113	0.000126487755309199	0.000138023563989162	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
4	Alistipes	0	0.00250422229230838	0.026309920097717	0.0497323984759143	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
35	Intestinimonas	0	0.000162561469160704	0.00045117190629204	0.000852253427382309	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
